,Date,Index,Value
1522,09/07/2019,YENN,5.31%
1523,09/07/2019,BTC,119.71%
1524,10/07/2019,GBP,5.47%
1525,10/07/2019,EUR,5.39%
1526,10/07/2019,YENN,5.33%
1527,10/07/2019,BTC,120.80%
1528,11/07/2019,GBP,5.60%
1529,11/07/2019,EUR,5.64%
1530,11/07/2019,YENN,5.67%
1531,11/07/2019,BTC,124.56%
1532,12/07/2019,GBP,5.61%
1533,12/07/2019,EUR,5.56%
1534,12/07/2019,YENN,5.73%
1535,12/07/2019,BTC,124.81%
1536,15/07/2019,GBP,5.82%
1537,15/07/2019,EUR,5.58%
1538,15/07/2019,YENN,6.21%
1539,15/07/2019,BTC,128.48%
1540,16/07/2019,GBP,5.55%
1541,16/07/2019,EUR,5.21%
1542,16/07/2019,YENN,6.15%
1543,16/07/2019,BTC,136.56%
1544,17/07/2019,GBP,6.09%
1545,17/07/2019,EUR,5.44%
1546,17/07/2019,YENN,6.24%
1547,17/07/2019,BTC,136.40%
1548,18/07/2019,GBP,6.08%
1549,18/07/2019,EUR,5.40%
1550,18/07/2019,YENN,6.29%
1551,18/07/2019,BTC,140.03%
1552,19/07/2019,GBP,6.33%
1553,19/07/2019,EUR,5.35%
1554,19/07/2019,YENN,6.36%
1555,19/07/2019,BTC,139.98%
1556,22/07/2019,GBP,6.14%
1557,22/07/2019,EUR,5.19%
1558,22/07/2019,YENN,5.89%
1559,22/07/2019,BTC,138.56%
1560,23/07/2019,GBP,6.00%
1561,23/07/2019,EUR,4.26%
1562,23/07/2019,YENN,5.89%
1563,23/07/2019,BTC,136.11%
1564,24/07/2019,GBP,6.03%
1565,24/07/2019,EUR,4.41%
1566,24/07/2019,YENN,5.97%
1567,24/07/2019,BTC,133.46%
1568,25/07/2019,GBP,6.18%
1569,25/07/2019,EUR,4.38%
1570,25/07/2019,YENN,5.94%
1571,25/07/2019,BTC,127.87%
1572,26/07/2019,GBP,6.19%
1573,26/07/2019,EUR,4.37%
1574,26/07/2019,YENN,5.85%
1575,26/07/2019,BTC,117.47%
1576,29/07/2019,GBP,6.45%
1577,29/07/2019,EUR,4.36%
1578,29/07/2019,YENN,5.86%
1579,29/07/2019,BTC,110.80%
1580,30/07/2019,GBP,7.56%
1581,30/07/2019,EUR,4.42%
1582,30/07/2019,YENN,5.55%
1583,30/07/2019,BTC,97.30%
1584,31/07/2019,GBP,7.58%
1585,31/07/2019,EUR,3.92%
1586,31/07/2019,YENN,5.65%
1587,31/07/2019,BTC,98.69%
1588,01/08/2019,GBP,7.56%
1589,01/08/2019,EUR,4.62%
1590,01/08/2019,YENN,5.36%
1591,01/08/2019,BTC,91.97%
1592,02/08/2019,GBP,7.57%
1593,02/08/2019,EUR,4.65%
1594,02/08/2019,YENN,7.07%
1595,02/08/2019,BTC,89.69%
1596,05/08/2019,GBP,7.67%
1597,05/08/2019,EUR,4.81%
1598,05/08/2019,YENN,7.57%
1599,05/08/2019,BTC,98.29%
1600,06/08/2019,GBP,7.63%
1601,06/08/2019,EUR,6.31%
1602,06/08/2019,YENN,7.73%
1603,06/08/2019,BTC,90.38%
1604,07/08/2019,GBP,7.67%
1605,07/08/2019,EUR,6.41%
1606,07/08/2019,YENN,8.17%
1607,07/08/2019,BTC,91.16%
1608,08/08/2019,GBP,7.59%
1609,08/08/2019,EUR,6.40%
1610,08/08/2019,YENN,8.10%
1611,08/08/2019,BTC,90.46%
1612,09/08/2019,GBP,7.37%
1613,09/08/2019,EUR,6.20%
1614,09/08/2019,YENN,7.97%
1615,09/08/2019,BTC,87.19%
1616,12/08/2019,GBP,7.88%
1617,12/08/2019,EUR,6.25%
1618,12/08/2019,YENN,7.96%
1619,12/08/2019,BTC,87.31%
1620,13/08/2019,GBP,7.96%
1621,13/08/2019,EUR,6.22%
1622,13/08/2019,YENN,7.70%
1623,13/08/2019,BTC,83.92%
1624,14/08/2019,GBP,7.92%
1625,14/08/2019,EUR,6.33%
1626,14/08/2019,YENN,8.87%
1627,14/08/2019,BTC,73.44%
1628,15/08/2019,GBP,7.54%
1629,15/08/2019,EUR,6.24%
1630,15/08/2019,YENN,8.99%
1631,15/08/2019,BTC,73.55%
1632,16/08/2019,GBP,7.58%
1633,16/08/2019,EUR,6.25%
1634,16/08/2019,YENN,9.02%
1635,16/08/2019,BTC,65.43%
1636,19/08/2019,GBP,7.17%
1637,19/08/2019,EUR,6.15%
1638,19/08/2019,YENN,8.99%
1639,19/08/2019,BTC,67.70%
1640,20/08/2019,GBP,7.17%
1641,20/08/2019,EUR,6.04%
1642,20/08/2019,YENN,8.89%
1643,20/08/2019,BTC,67.57%
1644,21/08/2019,GBP,7.27%
1645,21/08/2019,EUR,6.08%
1646,21/08/2019,YENN,8.91%
1647,21/08/2019,BTC,69.15%
1648,22/08/2019,GBP,7.26%
1649,22/08/2019,EUR,5.86%
1650,22/08/2019,YENN,8.91%
1651,22/08/2019,BTC,69.06%
1652,23/08/2019,GBP,8.04%
1653,23/08/2019,EUR,5.86%
1654,23/08/2019,YENN,8.91%
1655,23/08/2019,BTC,69.57%
1656,26/08/2019,GBP,8.04%
1657,26/08/2019,EUR,6.16%
1658,26/08/2019,YENN,10.01%
1659,26/08/2019,BTC,69.56%
1660,27/08/2019,GBP,7.86%
1661,27/08/2019,EUR,6.27%
1662,27/08/2019,YENN,10.89%
1663,27/08/2019,BTC,68.57%
1664,28/08/2019,GBP,6.67%
1665,28/08/2019,EUR,6.27%
1666,28/08/2019,YENN,10.83%
1667,28/08/2019,BTC,70.38%
1668,29/08/2019,GBP,6.74%
1669,29/08/2019,EUR,6.24%
1670,29/08/2019,YENN,10.93%
1671,29/08/2019,BTC,68.68%
1672,30/08/2019,GBP,6.81%
1673,30/08/2019,EUR,5.68%
1674,30/08/2019,YENN,10.98%
1675,30/08/2019,BTC,67.76%
1676,02/09/2019,GBP,6.80%
1677,02/09/2019,EUR,6.08%
1678,02/09/2019,YENN,10.14%
1679,02/09/2019,BTC,72.96%
1680,03/09/2019,GBP,7.26%
1681,03/09/2019,EUR,6.00%
1682,03/09/2019,YENN,9.78%
1683,03/09/2019,BTC,60.54%
1684,04/09/2019,GBP,7.30%
1685,04/09/2019,EUR,3.86%
1686,04/09/2019,YENN,9.28%
1687,04/09/2019,BTC,59.96%
1688,05/09/2019,GBP,8.63%
1689,05/09/2019,EUR,4.41%
1690,05/09/2019,YENN,9.07%
1691,05/09/2019,BTC,57.86%
1692,06/09/2019,GBP,8.80%
1693,06/09/2019,EUR,4.42%
1694,06/09/2019,YENN,9.35%
1695,06/09/2019,BTC,58.02%
1696,09/09/2019,GBP,8.91%
1697,09/09/2019,EUR,4.41%
1698,09/09/2019,YENN,9.32%
1699,09/09/2019,BTC,58.04%
1700,10/09/2019,GBP,8.15%
1701,10/09/2019,EUR,4.46%
1702,10/09/2019,YENN,9.19%
1703,10/09/2019,BTC,56.94%
1704,11/09/2019,GBP,8.05%
1705,11/09/2019,EUR,4.44%
1706,11/09/2019,YENN,9.19%
1707,11/09/2019,BTC,55.34%
1708,12/09/2019,GBP,8.07%
1709,12/09/2019,EUR,4.41%
1710,12/09/2019,YENN,8.42%
1711,12/09/2019,BTC,48.24%
1712,13/09/2019,GBP,8.07%
1713,13/09/2019,EUR,4.62%
1714,13/09/2019,YENN,8.03%
1715,13/09/2019,BTC,47.49%
1716,16/09/2019,GBP,9.15%
1717,16/09/2019,EUR,4.63%
1718,16/09/2019,YENN,8.20%
1719,16/09/2019,BTC,47.52%
1720,17/09/2019,GBP,9.33%
1721,17/09/2019,EUR,5.18%
1722,17/09/2019,YENN,8.22%
1723,17/09/2019,BTC,43.70%
1724,18/09/2019,GBP,9.39%
1725,18/09/2019,EUR,5.66%
1726,18/09/2019,YENN,8.23%
1727,18/09/2019,BTC,43.52%
1728,19/09/2019,GBP,9.48%
1729,19/09/2019,EUR,5.79%
1730,19/09/2019,YENN,8.17%
1731,19/09/2019,BTC,38.27%
1732,20/09/2019,GBP,9.45%
1733,20/09/2019,EUR,5.82%
1734,20/09/2019,YENN,8.28%
1735,20/09/2019,BTC,38.39%
1736,23/09/2019,GBP,9.14%
1737,23/09/2019,EUR,5.88%
1738,23/09/2019,YENN,8.38%
1739,23/09/2019,BTC,40.19%
1740,24/09/2019,GBP,9.24%
1741,24/09/2019,EUR,5.55%
1742,24/09/2019,YENN,6.12%
1743,24/09/2019,BTC,57.28%
1744,25/09/2019,GBP,9.19%
1745,25/09/2019,EUR,5.53%
1746,25/09/2019,YENN,5.35%
1747,25/09/2019,BTC,57.23%
1748,26/09/2019,GBP,9.85%
1749,26/09/2019,EUR,5.84%
1750,26/09/2019,YENN,5.46%
1751,26/09/2019,BTC,57.32%
1752,27/09/2019,GBP,9.68%
1753,27/09/2019,EUR,5.88%
1754,27/09/2019,YENN,5.40%
1755,27/09/2019,BTC,57.61%
1756,30/09/2019,GBP,9.71%
1757,30/09/2019,EUR,5.92%
1758,30/09/2019,YENN,5.32%
1759,30/09/2019,BTC,57.48%
1760,01/10/2019,GBP,9.66%
1761,01/10/2019,EUR,5.68%
1762,01/10/2019,YENN,5.16%
1763,01/10/2019,BTC,49.48%
1764,02/10/2019,GBP,9.20%
1765,02/10/2019,EUR,5.77%
1766,02/10/2019,YENN,5.34%
1767,02/10/2019,BTC,48.06%
1768,03/10/2019,GBP,9.19%
1769,03/10/2019,EUR,5.85%
1770,03/10/2019,YENN,5.59%
1771,03/10/2019,BTC,47.98%
1772,04/10/2019,GBP,8.11%
1773,04/10/2019,EUR,5.51%
1774,04/10/2019,YENN,5.55%
1775,04/10/2019,BTC,47.88%
1776,07/10/2019,GBP,7.84%
1777,07/10/2019,EUR,5.53%
1778,07/10/2019,YENN,4.98%
1779,07/10/2019,BTC,48.11%
1780,08/10/2019,GBP,7.87%
1781,08/10/2019,EUR,5.53%
1782,08/10/2019,YENN,5.21%
1783,08/10/2019,BTC,48.10%
1784,09/10/2019,GBP,7.87%
1785,09/10/2019,EUR,5.44%
1786,09/10/2019,YENN,5.14%
1787,09/10/2019,BTC,51.46%
1788,10/10/2019,GBP,7.86%
1789,10/10/2019,EUR,5.53%
1790,10/10/2019,YENN,5.11%
1791,10/10/2019,BTC,51.27%
1792,11/10/2019,GBP,10.10%
1793,11/10/2019,EUR,5.47%
1794,11/10/2019,YENN,5.45%
1795,11/10/2019,BTC,50.61%
1796,14/10/2019,GBP,11.27%
1797,14/10/2019,EUR,5.31%
1798,14/10/2019,YENN,5.74%
1799,14/10/2019,BTC,50.92%
1800,15/10/2019,GBP,10.33%
1801,15/10/2019,EUR,5.24%
1802,15/10/2019,YENN,5.57%
1803,15/10/2019,BTC,51.04%
1804,16/10/2019,GBP,10.79%
1805,16/10/2019,EUR,4.63%
1806,16/10/2019,YENN,5.60%
1807,16/10/2019,BTC,51.05%
1808,17/10/2019,GBP,10.74%
1809,17/10/2019,EUR,4.27%
1810,17/10/2019,YENN,5.61%
1811,17/10/2019,BTC,51.40%
1812,18/10/2019,GBP,10.68%
1813,18/10/2019,EUR,4.32%
1814,18/10/2019,YENN,5.53%
1815,18/10/2019,BTC,51.02%
1816,21/10/2019,GBP,10.63%
1817,21/10/2019,EUR,4.37%
1818,21/10/2019,YENN,5.41%
1819,21/10/2019,BTC,53.39%
1820,22/10/2019,GBP,10.52%
1821,22/10/2019,EUR,4.23%
1822,22/10/2019,YENN,5.25%
1823,22/10/2019,BTC,51.98%
1824,23/10/2019,GBP,10.81%
1825,23/10/2019,EUR,4.20%
1826,23/10/2019,YENN,5.27%
1827,23/10/2019,BTC,40.13%
1828,24/10/2019,GBP,10.79%
1829,24/10/2019,EUR,4.17%
1830,24/10/2019,YENN,5.01%
1831,24/10/2019,BTC,40.01%
1832,25/10/2019,GBP,10.34%
1833,25/10/2019,EUR,3.67%
1834,25/10/2019,YENN,4.77%
1835,25/10/2019,BTC,63.73%
1836,28/10/2019,GBP,10.27%
1837,28/10/2019,EUR,3.57%
1838,28/10/2019,YENN,4.78%
1839,28/10/2019,BTC,67.32%
1840,29/10/2019,GBP,10.11%
1841,29/10/2019,EUR,3.55%
1842,29/10/2019,YENN,4.79%
1843,29/10/2019,BTC,67.47%
1844,30/10/2019,GBP,10.09%
1845,30/10/2019,EUR,3.14%
1846,30/10/2019,YENN,4.80%
1847,30/10/2019,BTC,68.26%
1848,31/10/2019,GBP,10.06%
1849,31/10/2019,EUR,3.17%
1850,31/10/2019,YENN,4.66%
1851,31/10/2019,BTC,68.28%
1852,01/11/2019,GBP,10.05%
1853,01/11/2019,EUR,3.12%
1854,01/11/2019,YENN,5.01%
1855,01/11/2019,BTC,67.88%
1856,04/11/2019,GBP,10.09%
1857,04/11/2019,EUR,3.12%
1858,04/11/2019,YENN,4.87%
1859,04/11/2019,BTC,67.83%
1860,05/11/2019,GBP,10.24%
1861,05/11/2019,EUR,3.44%
1862,05/11/2019,YENN,5.02%
1863,05/11/2019,BTC,68.00%
1864,06/11/2019,GBP,10.08%
1865,06/11/2019,EUR,3.89%
1866,06/11/2019,YENN,4.98%
1867,06/11/2019,BTC,67.96%
1868,07/11/2019,GBP,9.79%
1869,07/11/2019,EUR,3.86%
1870,07/11/2019,YENN,4.93%
1871,07/11/2019,BTC,66.76%
1872,08/11/2019,GBP,10.17%
1873,08/11/2019,EUR,4.16%
1874,08/11/2019,YENN,4.99%
1875,08/11/2019,BTC,69.41%
1876,11/11/2019,GBP,8.42%
1877,11/11/2019,EUR,4.10%
1878,11/11/2019,YENN,4.57%
1879,11/11/2019,BTC,68.45%
1880,12/11/2019,GBP,7.00%
1881,12/11/2019,EUR,4.07%
1882,12/11/2019,YENN,4.29%
1883,12/11/2019,BTC,68.45%
1884,13/11/2019,GBP,6.99%
1885,13/11/2019,EUR,4.14%
1886,13/11/2019,YENN,4.29%
1887,13/11/2019,BTC,67.96%
1888,14/11/2019,GBP,5.78%
1889,14/11/2019,EUR,4.13%
1890,14/11/2019,YENN,4.12%
1891,14/11/2019,BTC,67.68%
1892,15/11/2019,GBP,5.58%
1893,15/11/2019,EUR,3.92%
1894,15/11/2019,YENN,4.21%
1895,15/11/2019,BTC,68.40%
1896,18/11/2019,GBP,5.55%
1897,18/11/2019,EUR,3.70%
1898,18/11/2019,YENN,4.26%
1899,18/11/2019,BTC,68.61%
1900,19/11/2019,GBP,5.54%
1901,19/11/2019,EUR,3.62%
1902,19/11/2019,YENN,4.22%
1903,19/11/2019,BTC,67.80%
1904,20/11/2019,GBP,5.22%
1905,20/11/2019,EUR,3.64%
1906,20/11/2019,YENN,4.23%
1907,20/11/2019,BTC,67.87%
1908,21/11/2019,GBP,4.64%
1909,21/11/2019,EUR,3.58%
1910,21/11/2019,YENN,4.22%
1911,21/11/2019,BTC,65.19%
1912,22/11/2019,GBP,4.53%
1913,22/11/2019,EUR,3.59%
1914,22/11/2019,YENN,4.20%
1915,22/11/2019,BTC,67.21%
1916,25/11/2019,GBP,4.32%
1917,25/11/2019,EUR,3.73%
1918,25/11/2019,YENN,4.23%
1919,25/11/2019,BTC,41.40%
1920,26/11/2019,GBP,4.46%
1921,26/11/2019,EUR,3.70%
1922,26/11/2019,YENN,4.29%
1923,26/11/2019,BTC,31.94%
1924,27/11/2019,GBP,4.53%
1925,27/11/2019,EUR,3.67%
1926,27/11/2019,YENN,4.24%
1927,27/11/2019,BTC,35.68%
1928,28/11/2019,GBP,4.89%
1929,28/11/2019,EUR,3.64%
1930,28/11/2019,YENN,4.31%
1931,28/11/2019,BTC,35.36%
1932,29/11/2019,GBP,4.83%
1933,29/11/2019,EUR,3.36%
1934,29/11/2019,YENN,4.31%
1935,29/11/2019,BTC,39.18%
1936,02/12/2019,GBP,4.72%
1937,02/12/2019,EUR,3.38%
1938,02/12/2019,YENN,3.30%
1939,02/12/2019,BTC,42.42%
1940,03/12/2019,GBP,4.78%
1941,03/12/2019,EUR,3.95%
1942,03/12/2019,YENN,3.74%
1943,03/12/2019,BTC,41.45%
1944,04/12/2019,GBP,4.83%
1945,04/12/2019,EUR,3.80%
1946,04/12/2019,YENN,3.65%
1947,04/12/2019,BTC,41.43%
1948,05/12/2019,GBP,5.59%
1949,05/12/2019,EUR,3.39%
1950,05/12/2019,YENN,3.39%
1951,05/12/2019,BTC,43.32%
1952,06/12/2019,GBP,5.58%
1953,06/12/2019,EUR,3.46%
1954,06/12/2019,YENN,3.32%
1955,06/12/2019,BTC,44.12%
1956,09/12/2019,GBP,5.05%
1957,09/12/2019,EUR,3.39%
1958,09/12/2019,YENN,3.09%
1959,09/12/2019,BTC,41.67%
1960,10/12/2019,GBP,5.05%
1961,10/12/2019,EUR,3.39%
1962,10/12/2019,YENN,3.09%
1963,10/12/2019,BTC,41.75%
1964,11/12/2019,GBP,4.95%
1965,11/12/2019,EUR,3.47%
1966,11/12/2019,YENN,3.12%
1967,11/12/2019,BTC,41.38%
1968,12/12/2019,GBP,5.12%
1969,12/12/2019,EUR,3.58%
1970,12/12/2019,YENN,3.18%
1971,12/12/2019,BTC,41.52%
1972,13/12/2019,GBP,8.41%
1973,13/12/2019,EUR,3.83%
1974,13/12/2019,YENN,4.19%
1975,13/12/2019,BTC,41.75%
1976,16/12/2019,GBP,9.29%
1977,16/12/2019,EUR,4.40%
1978,16/12/2019,YENN,4.04%
1979,16/12/2019,BTC,43.55%
1980,17/12/2019,GBP,9.65%
1981,17/12/2019,EUR,4.30%
1982,17/12/2019,YENN,4.03%
1983,17/12/2019,BTC,44.90%
1984,18/12/2019,GBP,10.59%
1985,18/12/2019,EUR,4.29%
1986,18/12/2019,YENN,4.04%
1987,18/12/2019,BTC,57.15%
1988,19/12/2019,GBP,10.62%
1989,19/12/2019,EUR,4.46%
1990,19/12/2019,YENN,3.94%
1991,19/12/2019,BTC,56.87%
1992,20/12/2019,GBP,10.82%
1993,20/12/2019,EUR,4.47%
1994,20/12/2019,YENN,4.00%
1995,20/12/2019,BTC,54.61%
1996,23/12/2019,GBP,10.82%
1997,23/12/2019,EUR,4.69%
1998,23/12/2019,YENN,4.01%
1999,23/12/2019,BTC,52.68%
2000,24/12/2019,GBP,10.79%
2001,24/12/2019,EUR,4.48%
2002,24/12/2019,YENN,4.02%
2003,24/12/2019,BTC,52.15%
2004,25/12/2019,GBP,10.74%
2005,25/12/2019,EUR,4.47%
2006,25/12/2019,YENN,3.95%
2007,25/12/2019,BTC,52.11%
2008,26/12/2019,GBP,10.72%
2009,26/12/2019,EUR,4.47%
2010,26/12/2019,YENN,3.94%
2011,26/12/2019,BTC,49.82%
2012,27/12/2019,GBP,10.60%
2013,27/12/2019,EUR,4.41%
2014,27/12/2019,YENN,3.88%
2015,27/12/2019,BTC,49.84%
2016,30/12/2019,GBP,10.82%
2017,30/12/2019,EUR,5.01%
2018,30/12/2019,YENN,3.87%
2019,30/12/2019,BTC,47.65%
2020,31/12/2019,GBP,10.82%
2021,31/12/2019,EUR,5.03%
2022,31/12/2019,YENN,4.25%
2023,31/12/2019,BTC,43.45%
2024,01/01/2020,GBP,11.43%
2025,01/01/2020,EUR,4.75%
2026,01/01/2020,YENN,3.98%
2027,01/01/2020,BTC,43.45%
2028,02/01/2020,GBP,11.38%
2029,02/01/2020,EUR,4.75%
2030,02/01/2020,YENN,3.80%
2031,02/01/2020,BTC,44.56%
2032,03/01/2020,GBP,11.36%
2033,03/01/2020,EUR,5.06%
2034,03/01/2020,YENN,3.79%
2035,03/01/2020,BTC,47.12%
2036,06/01/2020,GBP,11.45%
2037,06/01/2020,EUR,5.04%
2038,06/01/2020,YENN,4.20%
2039,06/01/2020,BTC,50.91%
2040,07/01/2020,GBP,11.71%
2041,07/01/2020,EUR,4.86%
2042,07/01/2020,YENN,4.46%
2043,07/01/2020,BTC,52.92%
2044,08/01/2020,GBP,11.80%
2045,08/01/2020,EUR,5.10%
2046,08/01/2020,YENN,4.62%
2047,08/01/2020,BTC,52.64%
2048,09/01/2020,GBP,11.80%
2049,09/01/2020,EUR,5.23%
2050,09/01/2020,YENN,5.67%
2051,09/01/2020,BTC,53.49%
2052,10/01/2020,GBP,11.67%
2053,10/01/2020,EUR,5.05%
2054,10/01/2020,YENN,5.80%
2055,10/01/2020,BTC,54.60%
2056,13/01/2020,GBP,8.79%
2057,13/01/2020,EUR,4.77%
2058,13/01/2020,YENN,5.12%
2059,13/01/2020,BTC,54.68%
2060,14/01/2020,GBP,8.42%
2061,14/01/2020,EUR,4.42%
2062,14/01/2020,YENN,5.28%
2063,14/01/2020,BTC,57.01%
2064,15/01/2020,GBP,8.34%
2065,15/01/2020,EUR,4.40%
2066,15/01/2020,YENN,5.28%
2067,15/01/2020,BTC,53.76%
2068,16/01/2020,GBP,7.45%
2069,16/01/2020,EUR,4.44%
2070,16/01/2020,YENN,5.28%
2071,16/01/2020,BTC,46.13%
2072,17/01/2020,GBP,7.47%
2073,17/01/2020,EUR,4.32%
2074,17/01/2020,YENN,5.35%
2075,17/01/2020,BTC,45.86%
2076,20/01/2020,GBP,7.49%
2077,20/01/2020,EUR,4.54%
2078,20/01/2020,YENN,5.31%
2079,20/01/2020,BTC,47.97%
2080,21/01/2020,GBP,7.48%
2081,21/01/2020,EUR,4.29%
2082,21/01/2020,YENN,5.30%
2083,21/01/2020,BTC,47.83%
2084,22/01/2020,GBP,7.36%
2085,22/01/2020,EUR,4.29%
2086,22/01/2020,YENN,5.37%
2087,22/01/2020,BTC,47.94%
2088,23/01/2020,GBP,7.73%
2089,23/01/2020,EUR,4.30%
2090,23/01/2020,YENN,5.41%
2091,23/01/2020,BTC,49.72%
2092,24/01/2020,GBP,7.74%
2093,24/01/2020,EUR,4.49%
2094,24/01/2020,YENN,5.44%
2095,24/01/2020,BTC,49.54%
2096,27/01/2020,GBP,7.90%
2097,27/01/2020,EUR,4.56%
2098,27/01/2020,YENN,5.91%
2099,27/01/2020,BTC,52.06%
2100,28/01/2020,GBP,7.52%
2101,28/01/2020,EUR,3.63%
2102,28/01/2020,YENN,5.93%
2103,28/01/2020,BTC,53.69%
2104,29/01/2020,GBP,7.54%
2105,29/01/2020,EUR,3.53%
2106,29/01/2020,YENN,5.69%
2107,29/01/2020,BTC,53.23%
2108,30/01/2020,GBP,6.24%
2109,30/01/2020,EUR,3.42%
2110,30/01/2020,YENN,5.68%
2111,30/01/2020,BTC,53.13%
2112,31/01/2020,GBP,6.58%
2113,31/01/2020,EUR,3.48%
2114,31/01/2020,YENN,5.69%
2115,31/01/2020,BTC,51.93%
2116,03/02/2020,GBP,6.60%
2117,03/02/2020,EUR,3.86%
2118,03/02/2020,YENN,5.90%
2119,03/02/2020,BTC,50.62%
2120,04/02/2020,GBP,8.03%
2121,04/02/2020,EUR,3.92%
2122,04/02/2020,YENN,5.62%
2123,04/02/2020,BTC,48.46%
2124,05/02/2020,GBP,7.68%
2125,05/02/2020,EUR,3.70%
2126,05/02/2020,YENN,6.05%
2127,05/02/2020,BTC,48.10%
2128,06/02/2020,GBP,7.60%
2129,06/02/2020,EUR,3.73%
2130,06/02/2020,YENN,5.94%
2131,06/02/2020,BTC,47.66%
2132,07/02/2020,GBP,7.78%
2133,07/02/2020,EUR,3.58%
2134,07/02/2020,YENN,5.07%
2135,07/02/2020,BTC,46.04%
2136,10/02/2020,GBP,7.79%
2137,10/02/2020,EUR,3.68%
2138,10/02/2020,YENN,4.98%
2139,10/02/2020,BTC,45.11%
2140,11/02/2020,GBP,7.83%
2141,11/02/2020,EUR,3.76%
2142,11/02/2020,YENN,4.99%
2143,11/02/2020,BTC,45.77%
2144,12/02/2020,GBP,7.78%
2145,12/02/2020,EUR,3.68%
2146,12/02/2020,YENN,4.81%
2147,12/02/2020,BTC,38.11%
2148,13/02/2020,GBP,7.72%
2149,13/02/2020,EUR,3.82%
2150,13/02/2020,YENN,4.79%
2151,13/02/2020,BTC,38.49%
2152,14/02/2020,GBP,8.09%
2153,14/02/2020,EUR,3.68%
2154,14/02/2020,YENN,4.79%
2155,14/02/2020,BTC,38.03%
2156,17/02/2020,GBP,8.02%
2157,17/02/2020,EUR,3.69%
2158,17/02/2020,YENN,4.69%
2159,17/02/2020,BTC,44.64%
2160,18/02/2020,GBP,7.88%
2161,18/02/2020,EUR,3.57%
2162,18/02/2020,YENN,4.70%
2163,18/02/2020,BTC,45.00%
2164,19/02/2020,GBP,7.88%
2165,19/02/2020,EUR,3.69%
2166,19/02/2020,YENN,4.71%
2167,19/02/2020,BTC,49.39%
2168,20/02/2020,GBP,8.02%
2169,20/02/2020,EUR,3.80%
2170,20/02/2020,YENN,6.15%
2171,20/02/2020,BTC,49.27%
2172,21/02/2020,GBP,7.55%
2173,21/02/2020,EUR,3.73%
2174,21/02/2020,YENN,6.44%
2175,21/02/2020,BTC,47.40%
2176,24/02/2020,GBP,7.86%
2177,24/02/2020,EUR,4.17%
2178,24/02/2020,YENN,6.57%
2179,24/02/2020,BTC,47.54%
2180,25/02/2020,GBP,7.76%
2181,25/02/2020,EUR,4.16%
2182,25/02/2020,YENN,6.49%
2183,25/02/2020,BTC,46.10%
2184,26/02/2020,GBP,8.07%
2185,26/02/2020,EUR,4.37%
2186,26/02/2020,YENN,6.82%
2187,26/02/2020,BTC,47.21%
2188,27/02/2020,GBP,8.42%
2189,27/02/2020,EUR,4.37%
2190,27/02/2020,YENN,6.80%
2191,27/02/2020,BTC,47.21%
2192,28/02/2020,GBP,8.42%
2193,28/02/2020,EUR,5.75%
2194,28/02/2020,YENN,7.19%
2195,28/02/2020,BTC,46.55%
2196,02/03/2020,GBP,8.40%
2197,02/03/2020,EUR,5.99%
2198,02/03/2020,YENN,9.60%
2199,02/03/2020,BTC,47.21%
2200,03/03/2020,GBP,7.89%
2201,03/03/2020,EUR,6.39%
2202,03/03/2020,YENN,9.85%
2203,03/03/2020,BTC,47.25%
2204,04/03/2020,GBP,6.67%
2205,04/03/2020,EUR,6.39%
2206,04/03/2020,YENN,10.86%
2207,04/03/2020,BTC,47.13%
2208,05/03/2020,GBP,6.78%
2209,05/03/2020,EUR,6.53%
2210,05/03/2020,YENN,10.71%
2211,05/03/2020,BTC,45.98%
2212,06/03/2020,GBP,7.09%
2213,06/03/2020,EUR,6.77%
2214,06/03/2020,YENN,11.43%
2215,06/03/2020,BTC,45.75%
2216,09/03/2020,GBP,7.89%
2217,09/03/2020,EUR,8.12%
2218,09/03/2020,YENN,13.37%
2219,09/03/2020,BTC,65.91%
2220,10/03/2020,GBP,7.84%
2221,10/03/2020,EUR,7.94%
2222,10/03/2020,YENN,13.50%
2223,10/03/2020,BTC,65.72%
2224,11/03/2020,GBP,9.09%
2225,11/03/2020,EUR,8.36%
2226,11/03/2020,YENN,15.35%
2227,11/03/2020,BTC,63.76%
2228,12/03/2020,GBP,9.33%
2229,12/03/2020,EUR,8.66%
2230,12/03/2020,YENN,15.34%
2231,12/03/2020,BTC,168.65%
2232,13/03/2020,GBP,11.42%
2233,13/03/2020,EUR,8.94%
2234,13/03/2020,YENN,15.35%
2235,13/03/2020,BTC,176.13%
2236,16/03/2020,GBP,11.74%
2237,16/03/2020,EUR,8.93%
2238,16/03/2020,YENN,17.14%
2239,16/03/2020,BTC,177.39%
2240,17/03/2020,GBP,12.04%
2241,17/03/2020,EUR,8.91%
2242,17/03/2020,YENN,17.17%
2243,17/03/2020,BTC,178.95%
2244,18/03/2020,GBP,12.43%
2245,18/03/2020,EUR,10.27%
2246,18/03/2020,YENN,17.73%
2247,18/03/2020,BTC,177.29%
2248,19/03/2020,GBP,18.15%
2249,19/03/2020,EUR,10.32%
2250,19/03/2020,YENN,18.07%
2251,19/03/2020,BTC,189.90%
2252,20/03/2020,GBP,18.27%
2253,20/03/2020,EUR,14.36%
2254,20/03/2020,YENN,20.01%
2255,20/03/2020,BTC,189.95%
2256,23/03/2020,GBP,19.16%
2257,23/03/2020,EUR,14.42%
