,Date,Index,Value
262,23/04/2018,YENN,6.48%
263,23/04/2018,BTC,83.14%
264,24/04/2018,GBP,7.42%
265,24/04/2018,EUR,6.01%
266,24/04/2018,YENN,6.85%
267,24/04/2018,BTC,82.61%
268,25/04/2018,GBP,7.17%
269,25/04/2018,EUR,5.22%
270,25/04/2018,YENN,6.67%
271,25/04/2018,BTC,87.69%
272,26/04/2018,GBP,7.14%
273,26/04/2018,EUR,5.38%
274,26/04/2018,YENN,6.77%
275,26/04/2018,BTC,88.86%
276,27/04/2018,GBP,6.81%
277,27/04/2018,EUR,5.00%
278,27/04/2018,YENN,5.57%
279,27/04/2018,BTC,80.55%
280,30/04/2018,GBP,7.61%
281,30/04/2018,EUR,5.04%
282,30/04/2018,YENN,5.46%
283,30/04/2018,BTC,78.64%
284,01/05/2018,GBP,7.60%
285,01/05/2018,EUR,5.09%
286,01/05/2018,YENN,5.38%
287,01/05/2018,BTC,79.02%
288,02/05/2018,GBP,8.47%
289,02/05/2018,EUR,5.57%
290,02/05/2018,YENN,5.02%
291,02/05/2018,BTC,77.73%
292,03/05/2018,GBP,8.40%
293,03/05/2018,EUR,5.62%
294,03/05/2018,YENN,4.84%
295,03/05/2018,BTC,71.00%
296,04/05/2018,GBP,8.35%
297,04/05/2018,EUR,5.80%
298,04/05/2018,YENN,5.56%
299,04/05/2018,BTC,70.93%
300,07/05/2018,GBP,8.24%
301,07/05/2018,EUR,5.80%
302,07/05/2018,YENN,5.53%
303,07/05/2018,BTC,71.62%
304,08/05/2018,GBP,7.95%
305,08/05/2018,EUR,5.71%
306,08/05/2018,YENN,5.58%
307,08/05/2018,BTC,72.41%
308,09/05/2018,GBP,7.73%
309,09/05/2018,EUR,5.53%
310,09/05/2018,YENN,5.48%
311,09/05/2018,BTC,72.41%
312,10/05/2018,GBP,7.53%
313,10/05/2018,EUR,5.21%
314,10/05/2018,YENN,5.88%
315,10/05/2018,BTC,74.07%
316,11/05/2018,GBP,7.47%
317,11/05/2018,EUR,5.83%
318,11/05/2018,YENN,5.98%
319,11/05/2018,BTC,67.26%
320,14/05/2018,GBP,7.36%
321,14/05/2018,EUR,6.01%
322,14/05/2018,YENN,5.95%
323,14/05/2018,BTC,67.98%
324,15/05/2018,GBP,7.37%
325,15/05/2018,EUR,5.98%
326,15/05/2018,YENN,5.99%
327,15/05/2018,BTC,68.43%
328,16/05/2018,GBP,6.63%
329,16/05/2018,EUR,6.16%
330,16/05/2018,YENN,5.85%
331,16/05/2018,BTC,68.32%
332,17/05/2018,GBP,6.99%
333,17/05/2018,EUR,6.18%
334,17/05/2018,YENN,5.82%
335,17/05/2018,BTC,68.51%
336,18/05/2018,GBP,6.84%
337,18/05/2018,EUR,6.10%
338,18/05/2018,YENN,5.88%
339,18/05/2018,BTC,68.62%
340,21/05/2018,GBP,6.50%
341,21/05/2018,EUR,6.10%
342,21/05/2018,YENN,5.88%
343,21/05/2018,BTC,64.98%
344,22/05/2018,GBP,6.36%
345,22/05/2018,EUR,6.14%
346,22/05/2018,YENN,5.81%
347,22/05/2018,BTC,66.52%
348,23/05/2018,GBP,6.35%
349,23/05/2018,EUR,6.04%
350,23/05/2018,YENN,5.37%
351,23/05/2018,BTC,61.23%
352,24/05/2018,GBP,6.10%
353,24/05/2018,EUR,6.06%
354,24/05/2018,YENN,6.14%
355,24/05/2018,BTC,54.01%
356,25/05/2018,GBP,6.15%
357,25/05/2018,EUR,6.01%
358,25/05/2018,YENN,6.18%
359,25/05/2018,BTC,50.14%
360,28/05/2018,GBP,6.28%
361,28/05/2018,EUR,5.90%
362,28/05/2018,YENN,6.26%
363,28/05/2018,BTC,51.21%
364,29/05/2018,GBP,5.50%
365,29/05/2018,EUR,5.94%
366,29/05/2018,YENN,6.27%
367,29/05/2018,BTC,53.30%
368,30/05/2018,GBP,5.56%
369,30/05/2018,EUR,6.23%
370,30/05/2018,YENN,6.99%
371,30/05/2018,BTC,53.29%
372,31/05/2018,GBP,4.36%
373,31/05/2018,EUR,7.44%
374,31/05/2018,YENN,6.83%
375,31/05/2018,BTC,53.24%
376,01/06/2018,GBP,4.36%
377,01/06/2018,EUR,7.49%
378,01/06/2018,YENN,6.83%
379,01/06/2018,BTC,48.44%
380,04/06/2018,GBP,4.84%
381,04/06/2018,EUR,7.34%
382,04/06/2018,YENN,7.01%
383,04/06/2018,BTC,48.46%
384,05/06/2018,GBP,4.84%
385,05/06/2018,EUR,7.44%
386,05/06/2018,YENN,7.09%
387,05/06/2018,BTC,48.67%
388,06/06/2018,GBP,5.36%
389,06/06/2018,EUR,7.52%
390,06/06/2018,YENN,7.06%
391,06/06/2018,BTC,48.82%
392,07/06/2018,GBP,5.38%
393,07/06/2018,EUR,7.58%
394,07/06/2018,YENN,7.10%
395,07/06/2018,BTC,48.56%
396,08/06/2018,GBP,5.39%
397,08/06/2018,EUR,7.57%
398,08/06/2018,YENN,6.77%
399,08/06/2018,BTC,47.93%
400,11/06/2018,GBP,5.37%
401,11/06/2018,EUR,7.24%
402,11/06/2018,YENN,6.68%
403,11/06/2018,BTC,53.52%
404,12/06/2018,GBP,5.35%
405,12/06/2018,EUR,7.13%
406,12/06/2018,YENN,7.30%
407,12/06/2018,BTC,52.87%
408,13/06/2018,GBP,5.33%
409,13/06/2018,EUR,7.14%
410,13/06/2018,YENN,7.21%
411,13/06/2018,BTC,53.33%
412,14/06/2018,GBP,5.16%
413,14/06/2018,EUR,6.69%
