Name,id,2008-01,2020-08,2022-06
Fairfield County,322,4.9,1.3,1
Franklin County,323,3.7,0.8,0.7
Greene County,324,3.2,1,0.8
Hamilton County,325,4.2,0.9,1
Lake County,326,2.8,0.9,1.2
Licking County,327,4,0.6,1
Lorain County,328,4,1,0.9
Lucas County,329,4.8,1.3,1.1
Mahoning County,330,3.8,1.3,0.7
Medina County,331,2.8,0.8,0.9
Montgomery County,332,3.8,1,1.2
Portage County,333,3.5,0.7,1.2
Stark County,334,3.4,1.5,1.2
Summit County,335,3.4,1.2,1.1
Trumbull County,336,4,1,1.4
Warren County,337,2.8,0.6,0.8
Canadian County,338,3.1,1,1.8
Cleveland County,339,2.6,1.3,0.9
Oklahoma County,340,3.7,1.3,1
Tulsa County,341,3.8,1.3,1.2
Clackamas County,342,2,0.4,0.2
Deschutes County,343,1.5,0.5,0.4
Jackson County,344,2.1,0.6,0.2
Lane County,345,1.8,0.6,0.4
Marion County,346,2.6,0.6,0.7
Multnomah County,347,2,0.3,0.5
Washington County,348,1.4,0.4,0.2
Allegheny County,349,4.1,1.1,1.2
Beaver County,350,4.6,1,1.1
Berks County,351,3.6,1.6,1.2
Bucks County,352,2.5,1,0.7
Butler County,353,2.6,0.9,0.7
Chester County,354,2,0.8,0.6
Cumberland County,355,2.5,0.8,0.8
Dauphin County,356,3.5,1.3,0.9
Delaware County,357,3.6,1.2,1.4
Erie County,358,3.6,1.1,1.5
Franklin County,359,3,1.5,1.9
Lackawanna County,360,4.3,1.2,1.4
Lancaster County,361,2.7,1.1,0.8
Lebanon County,362,3.6,1.3,1
Lehigh County,363,3.9,0.8,1.6
Luzerne County,364,5.1,1.4,1.4
Monroe County,365,4.8,1.6,2
Montgomery County,366,2.1,0.9,0.8
Northampton County,367,2.9,1.1,1.1
Philadelphia County,368,6.2,1.9,2.1
Washington County,369,5.1,1.8,1.5
Westmoreland County,370,3.7,1.6,1.5
York County,371,3.4,1.2,1.3
Kent County,372,3.8,1.3,0.9
Providence County,373,4.4,1,1.1
Washington County,374,2.9,0.7,0.9
Aiken County,375,4.9,1.2,1
Anderson County,376,4.1,2.2,1.8
Beaufort County,377,2.3,1.1,0.9
Berkeley County,378,4.3,1.3,1.7
Charleston County,379,2.7,1,0.7
Dorchester County,380,3.3,1,1.7
Greenville County,381,3.7,0.9,1.3
Horry County,382,3.2,0.8,0.7
Lexington County,383,3.4,1.6,1.5
Richland County,384,4.3,1.1,1.4
Spartanburg County,385,4.8,1.3,1.7
York County,386,3.9,1.1,1
Minnehaha County,387,2.4,1,1
Davidson County,388,4.2,0.8,0.9
Hamilton County,389,3.9,1.1,1
Knox County,390,3.6,1.1,0.7
Montgomery County,391,3.8,1.2,1.4
Rutherford County,392,4.5,1.1,1.1
Shelby County,393,6.2,1,1.1
Sullivan County,394,3.2,1.9,1.3
Sumner County,395,4.2,1.5,1.2
Williamson County,396,1.9,0.4,0.3
Wilson County,397,3,0.9,0.8
Bell County,398,3.8,0.9,1.4
Bexar County,399,5,1.4,1.9
Brazoria County,400,3.7,1.4,1.6
Brazos County,401,2.3,0.6,1.4
Cameron County,402,6.1,1.9,2.3
Collin County,403,3,0.6,0.5
Comal County,404,2.9,0.9,1.5
Dallas County,405,5.7,1.4,1.3
Denton County,406,3.2,0.7,0.7
Ellis County,407,5.8,1,1.9
El Paso County,408,5.9,1.6,2
Fort Bend County,409,3.7,0.9,1
Galveston County,410,3.4,1.3,1.2
Guadalupe County,411,3.6,1.1,1.3
Harris County,412,4.6,1.3,1.5
Hays County,413,3.6,0.8,1
Hidalgo County,414,6.1,1.9,2.7
Jefferson County,415,5.4,2.1,2.3
Johnson County,416,5.1,1.3,1.3
Lubbock County,417,4.4,1.3,1.6
McLennan County,418,3.7,1.2,1
Montgomery County,419,3.6,1,1.2
Nueces County,420,5.1,1.6,1.5
Parker County,421,5.1,0.8,1.5
Randall County,422,4,1,1.7
Smith County,423,4.5,1.3,1.1
Tarrant County,424,4.4,1,1.1
Travis County,425,2.6,0.6,0.5
Webb County,426,9.5,3,3.3
Williamson County,427,3.3,0.8,0.7
Davis County,428,2.3,0.4,0.8
Salt Lake County,429,2.6,0.5,0.7
Utah County,430,2,0.6,0.6
Washington County,431,2,0.7,0.6
Weber County,432,2.7,1.2,0.8
Chittenden County,433,2,1,0.4
Arlington County,434,1.2,0.3,0.3
Chesterfield County,435,3,0.9,0.8
Fairfax County,436,1.8,0.3,0.3
Hanover County,437,2.1,0.8,1
Henrico County,438,3.2,1.1,1
Loudoun County,439,2.3,0.3,0.3
Prince William County,440,3.5,0.7,0.9
Spotsylvania County,441,3.6,1,1.5
Stafford County,442,2.9,0.7,0.8
Alexandria city,443,1.8,0.3,0.6
Chesapeake city,444,2.9,0.9,1.1
Hampton city,445,3.4,1.1,1.6
Newport News city,446,3,1.1,1.1
Norfolk city,447,4.6,1.2,1.3
Richmond city,448,4.4,0.9,0.4
Virginia Beach city,449,2.6,1.1,0.7
Benton County,450,2.4,0.5,0.7
Clark County,451,2,0.4,0.3
King County,452,1.6,0.3,0.3
Kitsap County,453,1.7,0.2,0.4
Pierce County,454,2.8,0.6,0.6
Snohomish County,455,1.7,0.4,0.4
Spokane County,456,2.2,0.5,0.5
Thurston County,457,1.8,0.5,0.3
