Name,2008-02,2020-01,2022-06
"Pittsfield, MA",2.2,1.9,0.9
"Portland-South Portland, ME",2.8,2.2,0.8
"Portland-Vancouver-Hillsboro, OR-WA",1.6,0.8,0.3
"Port St. Lucie, FL",4.8,2.3,0.8
"Prescott, AZ",2.2,0.8,0.3
"Providence-Warwick, RI-MA",3.4,2.4,0.9
"Provo-Orem, UT",2.4,1.6,0.6
"Pueblo, CO",3.9,2.4,1.6
"Punta Gorda, FL",3.1,1.5,0.6
"Racine, WI",2.4,1.7,1.1
"Raleigh, NC",2.7,1.9,0.7
"Rapid City, SD",2.3,1.6,1.2
"Reading, PA",3.6,3.3,1.2
"Redding, CA",2.6,2,0.8
"Reno, NV",2.6,1,0.7
"Richmond, VA",3,2,0.9
"Riverside-San Bernardino-Ontario, CA",4.8,2.4,0.9
"Roanoke, VA",3.4,3.4,0.6
"Rochester, MN",1.6,1.6,0.8
"Rochester, NY",2.8,1.9,1.1
"Rockford, IL",3.6,2.8,1.6
"Sacramento--Roseville--Arden-Arcade, CA",2.7,1.2,0.5
"Saginaw, MI",4.2,2.5,1.9
"St. Cloud, MN",2.1,1.6,0.7
"St. George, UT",2.4,1.4,0.6
"St. Louis, MO-IL",3.6,2.2,1.1
"Salem, OR",2.4,1.4,0.7
"Salinas, CA",3.3,1.1,0.5
"Salisbury, MD-DE",2.4,2.3,0.7
"Salt Lake City, UT",2.2,1.4,0.8
"San Antonio-New Braunfels, TX",4,3.7,1.8
"San Diego-Carlsbad, CA",2.4,1,0.4
"San Francisco-Oakland-Hayward, CA",2,0.7,0.3
"San Jose-Sunnyvale-Santa Clara, CA",1.9,0.5,0.3
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",1.2,0.8,0.3
"Santa Cruz-Watsonville, CA",1.3,0.7,0.2
"Santa Fe, NM",1.6,1.8,0.5
"Santa Maria-Santa Barbara, CA",2,1.4,0.4
"Santa Rosa, CA",1.7,0.8,0.3
"Savannah, GA",3.8,2.7,1.5
"Scranton--Wilkes-Barre--Hazleton, PA",4.5,3.2,1.5
"Seattle-Tacoma-Bellevue, WA",1.7,0.9,0.4
"Sebastian-Vero Beach, FL",4,2.2,1.1
"Shreveport-Bossier City, LA",3.8,4.3,2
"Sioux City, IA-NE-SD",2.7,2.3,0.8
"Sioux Falls, SD",2.5,1.4,0.8
"South Bend-Mishawaka, IN-MI",3.8,3.2,1.7
"Spartanburg, SC",5.1,3.9,1.7
"Spokane-Spokane Valley, WA",2,1.3,0.5
"Springfield, IL",1.9,2.4,1
"Springfield, MA",3.2,3.1,1
"Springfield, MO",2.9,1.9,0.8
"Stockton-Lodi, CA",4.6,1.9,0.9
"Syracuse, NY",3.1,2.7,1.4
"Tallahassee, FL",3.1,2.2,1
"Tampa-St. Petersburg-Clearwater, FL",3.9,2.2,0.9
"Terre Haute, IN",3.2,2.2,1.1
"Toledo, OH",4,2.7,1.1
"Topeka, KS",4.2,2.4,0.8
"Trenton, NJ",2.7,2.4,1.1
"Tucson, AZ",3,2.3,1
"Tulsa, OK",3.4,2.6,1.2
