fips,value
21073,1.37
21075,0.78
21077,1.82
21079,
21081,
21083,2.15
21085,2.15
21087,
21089,3.43
21091,1.01
21093,1.58
21095,1.37
21097,3.43
21099,2.15
21101,1.19
21103,
21105,1.19
21107,1.01
21109,3.43
21111,1.19
21113,3.43
21115,2.61
21117,1.82
21119,1.01
21121,2.15
21123,2.15
21125,1.82
21127,1.37
21129,1.58
21131,1.37
21133,1.37
21135,1.58
21137,3.43
21139,1.82
21141,2.15
21143,1.82
21145,1.01
21147,1.82
21149,
21151,2.15
21153,1.82
21155,1.19
21157,1.37
21159,1.01
21161,1.19
21163,
21165,
21167,2.15
21169,2.61
21171,1.82
21173,1.82
21175,2.15
21177,1.58
21179,2.61
21181,
21183,1.19
21185,
21187,
21189,1.37
21191,
21193,1.01
21195,1.19
21197,3.43
21199,1.58
21201,
21203,3.43
21205,1.01
21207,2.15
21209,1.37
21211,2.61
21213,1.01
21215,
21217,1.82
21219,
21221,1.58
21223,
21225,1.37
21227,1.37
21229,2.15
21231,1.82
21233,1.19
21235,1.37
21237,3.43
21239,3.43
22001,2.15
22003,1.01
22005,2.61
22007,2.15
22009,2.15
22011,2.15
22013,1.19
22015,2.61
22017,1.19
22019,1.19
22021,2.61
22023,0.78
22025,2.15
22027,1.58
22029,1.58
22031,2.61
22033,1.19
22035,1.01
22037,2.61
22039,2.61
22041,2.61
22043,
22045,0.78
22047,1.19
22049,2.15
22051,1.37
22053,2.15
22055,1.01
22057,1.01
22059,2.15
22061,1.82
22063,
22065,1.37
22067,1.82
22069,1.19
22071,1.01
22073,1.82
22075,1.01
22077,2.61
22079,1.19
22081,1.19
22083,1.82
22085,2.15
22087,1.01
22089,1.19
22091,
22093,1.01
22095,2.15
22097,2.15
22099,3.43
22101,0.78
22103,
22105,2.15
22107,1.58
22109,1.19
22111,3.43
22113,2.15
22115,1.58
22117,1.82
22119,3.43
22121,1.19
22123,2.15
22125,1.01
22127,1.19
23001,1.82
23003,1.19
23005,1.82
23007,2.61
23009,2.15
23011,1.82
23013,1.82
23015,
23017,3.43
23019,1.58
23021,2.15
23023,2.15
23025,1.19
23027,3.43
23029,1.82
23031,3.43
24001,1.58
24003,3.43
24005,2.15
24009,
24011,
24013,
24015,3.43
24017,
24019,2.61
24021,3.43
24023,1.82
24025,
24027,2.61
24029,3.43
24031,3.43
24033,3.43
24035,
24037,2.61
24039,1.58
24041,3.43
24043,2.61
24045,2.15
24047,
24510,0.78
25001,3.43
25003,1.37
25005,2.61
25007,3.43
25009,2.61
25011,2.61
25013,1.58
25015,2.15
25017,1.58
25019,2.15
25021,2.15
25023,
25025,0.78
25027,2.61
26001,
26003,1.58
26005,3.43
26007,2.15
26009,
26011,3.43
26013,0.78
26015,
26017,1.82
26019,
26021,1.82
26023,2.15
26025,1.37
26027,
26029,2.15
26031,
26033,1.58
26035,2.61
26037,
26039,2.61
26041,1.82
26043,1.01
26045,3.43
26047,2.15
26049,2.15
26051,
26053,0.78
26055,2.15
26057,1.82
26059,2.15
26061,1.01
26063,2.61
26065,1.19
26067,2.61
26069,2.15
26071,1.19
26073,1.58
26075,2.61
26077,1.82
26079,3.43
26081,1.58
26083,1.37
26085,2.61
26087,
26089,
26091,3.43
26093,
26095,1.58
26097,1.19
26099,2.61
26101,2.15
26103,1.19
26105,3.43
26107,2.15
26109,1.19
26111,1.58
26113,3.43
26115,3.43
26117,2.61
26119,
26121,1.82
26123,3.43
26125,2.15
26127,2.61
26129,2.61
26131,1.01
26133,1.82
26135,3.43
26137,3.43
26139,2.15
26141,3.43
26143,3.43
26145,1.58
26147,3.43
26149,1.82
26151,
26153,1.58
26155,
26157,
26159,3.43
26161,1.58
26163,1.37
26165,1.37
27001,2.61
27003,
27005,2.61
27007,2.15
27009,1.82
27011,1.01
27013,1.82
27015,1.19
27017,2.61
27019,
27021,
27023,1.37
27025,
27027,3.43
27029,3.43
27031,
27033,1.01
27035,3.43
27037,2.61
27039,
27041,2.15
27043,0.78
27045,2.15
27047,2.15
27049,2.61
27051,1.82
27053,1.19
27055,2.61
27057,3.43
27059,
27061,2.61
27063,1.82
27065,
27067,1.37
27069,1.01
27071,1.58
27073,1.58
27075,2.61
27077,2.15
27079,3.43
27081,1.37
27083,0.78
27085,1.82
27087,1.01
27089,3.43
27091,1.58
27093,3.43
27095,2.61
27097,
27099,1.82
27101,1.82
27103,2.15
27105,1.01
27107,1.82
27109,1.58
27111,2.61
27113,0.78
27115,
27117,1.37
27119,1.82
27121,3.43
27123,1.19
27125,1.58
27127,1.19
27129,1.37
27131,2.61
27133,1.58
27135,1.19
27137,1.58
27139,
27141,
27143,
27145,1.37
27147,1.58
27149,0.78
27151,1.58
27153,3.43
27155,3.43
27157,3.43
27159,1.19
27161,2.61
27163,
27165,1.58
27167,2.61
27169,1.19
27171,
27173,1.19
28001,1.19
28003,1.19
28005,3.43
28007,1.82
28009,3.43
28011,1.01
28013,1.82
28015,3.43
28017,1.01
28019,1.58
28021,0.78
28023,3.43
28025,1.37
28027,1.19
28029,1.37
28031,2.15
28033,
28035,1.37
28037,2.61
28039,2.15
28041,3.43
28043,1.58
28045,1.37
28047,1.58
28049,1.19
28051,1.58
28053,0.78
28055,1.58
28057,2.61
28059,1.82
28061,2.15
28063,2.15
28065,1.01
28067,1.37
28069,1.58
28071,1.37
28073,3.43
28075,1.19
28077,1.58
28079,2.61
28081,1.01
28083,0.78
28085,1.58
28087,1.19
28089,2.61
28091,2.15
28093,2.61
28095,1.82
28097,1.58
28099,1.01
28101,1.82
28103,1.37
28105,1.19
28107,1.58
28109,
28111,1.82
28113,1.37
28115,1.37
28117,1.37
28119,1.82
28121,2.61
28123,1.58
28125,1.82
28127,1.58
28129,3.43
28131,1.58
28133,1.19
28135,1.58
28137,2.61
28139,1.58
28141,1.82
28143,0.78
28145,1.58
28147,3.43
28149,1.19
28151,1.01
28153,2.15
28155,
28157,1.82
28159,1.37
28161,1.58
28163,1.58
29001,1.01
29003,
29005,1.37
29007,1.82
29009,1.37
29011,2.61
29013,
29015,
29017,
29019,1.37
29021,1.01
29023,1.19
29025,3.43
29027,1.58
29029,3.43
29031,1.58
29033,1.82
29035,2.61
29037,
29039,2.61
29041,3.43
29043,
29045,1.37
29047,2.15
29049,
29051,1.01
29053,1.19
29055,1.82
29057,
29059,
29061,
29063,2.61
29065,2.61
29067,3.43
29069,1.19
29071,2.61
29073,1.82
29075,1.19
29077,1.37
29079,1.01
29081,0.78
29083,2.15
29085,
29087,1.82
29089,3.43
29091,2.15
29093,1.37
29095,1.19
29097,1.37
29099,
29101,2.61
29103,1.58
29105,1.82
29107,2.61
29109,3.43
29111,1.58
29113,
29115,1.19
29117,1.19
29119,2.15
29121,1.01
29123,2.61
29125,
