Date,"Real house prices Index 2005:Q1",House price to rent ratio,House price to income ratio
1991:Q4,64.72474838,74.57216979,85.38730567
1992:Q1,64.87151838,74.50007186,84.07322011
1992:Q2,64.25321839,73.76122768,82.55953245
1992:Q3,64.57857839,74.06987468,82.82005242
1992:Q4,64.56697839,74.0279776,82.69852572
1993:Q1,64.26717839,73.55666289,82.27311712
1993:Q2,64.27496839,73.44259859,82.15778527
1993:Q3,64.52076839,73.5996502,82.70375297
1993:Q4,64.79510838,73.83441896,82.72601415
1994:Q1,65.02303837,73.66654129,82.65691639
1994:Q2,64.87463838,73.41460302,81.75884598
1994:Q3,64.68130838,73.1619673,81.33947463
1994:Q4,64.44294839,72.64159627,80.05179032
1995:Q1,64.51863839,72.59309714,79.56936691
1995:Q2,65.02198837,72.88780538,80.17103484
1995:Q3,65.76231836,73.41191525,80.56958845
1995:Q4,66.09632835,73.48591364,80.74207444
1996:Q1,66.52474834,73.77194421,80.64555341
1996:Q2,66.00950835,73.18572317,79.51972826
1996:Q3,66.02889835,72.91438423,79.08487499
1996:Q4,66.21272834,73.14245294,79.17718792
1997:Q1,66.52467834,73.23677017,79.11576095
1997:Q2,66.72016833,73.08845682,78.77958466
1997:Q3,67.45387831,73.52213644,78.98418349
1997:Q4,68.24327829,73.96490048,78.97262824
1998:Q1,69.31809827,74.54045811,78.74127039
1998:Q2,69.62291826,74.37255089,78.19789251
1998:Q3,70.38709824,74.81180868,78.48738105
1998:Q4,71.15736822,75.1081138,78.94683968
1999:Q1,71.8267182,75.65262281,79.13385926
1999:Q2,72.1760382,75.87623681,79.66766494
1999:Q3,72.80593818,76.46400895,79.99628774
1999:Q4,73.24333817,76.86413488,79.57891623
2000:Q1,74.10786815,77.68564634,80.28868025
2000:Q2,74.75167813,78.1038401,80.29714718
2000:Q3,75.63421811,78.84751591,80.41054892
2000:Q4,76.49875809,79.49780953,81.12100224
2001:Q1,77.87921805,80.8615495,82.0518232
2001:Q2,78.60334803,81.1127306,83.29006263
2001:Q3,79.78922801,81.56352886,83.06065195
2001:Q4,80.88649798,81.90573868,85.89569
2002:Q1,81.95525795,82.27447814,85.23172049
2002:Q2,82.51142794,82.7577991,85.28467942
2002:Q3,83.72393791,83.84034893,86.70084966
2002:Q4,84.67025788,84.60606899,87.41025074
2003:Q1,85.12001787,85.27147136,88.54616493
2003:Q2,85.84106785,85.74310639,88.50608503
2003:Q3,86.60137783,86.52005832,88.05551794
2003:Q4,88.77643778,88.51552691,90.32222513
2004:Q1,89.55995776,89.47641434,90.66555701
2004:Q2,90.88487773,90.54503457,91.37286287
2004:Q3,93.89204765,93.36270632,93.98184396
2004:Q4,95.26115762,95.05207333,94.52010216
2005:Q1,96.96273758,96.5745256,97.65085836
2005:Q2,99.17086752,98.86728588,99.19138567
2005:Q3,101.1039975,101.4144845,101.0010324
2005:Q4,102.7623974,103.143704,102.1567236
2006:Q1,103.9375974,103.9840505,101.5721348
2006:Q2,103.8078974,103.5626575,101.3577707
2006:Q3,103.9212974,103.2705778,101.5284341
2006:Q4,105.3491974,103.503927,101.9765277
2007:Q1,104.8704974,103.0728716,101.2121187
2007:Q2,103.6374974,101.8699668,99.85241949
2007:Q3,101.9123975,99.93079591,98.29257991
2007:Q4,100.7457975,99.18955832,97.35622412
2008:Q1,99.28267752,97.85915577,95.68347478
2008:Q2,95.58679761,94.67897996,90.59080277
2008:Q3,91.60377771,91.11194538,88.90174944
2008:Q4,92.40110769,90.2561207,88.95510542
2009:Q1,93.79378766,90.75313724,90.57266336
2009:Q2,90.72893773,87.80900354,87.32680989
