,Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index
Year,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Louisiana,.,9.91,10.47,16.30,22.39,8.72,10.63,3.27,0.91,0.28,-3.17,-1.26,-4.00,-6.62,0.74,1.37,2.83,3.88,4.40,5.79,5.03,4.47,4.58,4.17,3.88,4.03,4.52,3.24,3.37,5.12,6.48,10.90,4.63,0.17,-1.31,-1.58,-1.20,0.56,1.27,2.63,3.12,3.16,2.46,2.06,2.23,2.12,5.71,100.0,109.91,121.42,141.21,172.83,187.91,207.89,214.69,216.64,217.24,210.35,207.71,199.41,186.2,187.57,190.13,195.52,203.1,212.04,224.32,235.61,246.14,257.41,268.13,278.54,289.77,302.86,312.68,323.21,339.76,361.76,401.19,419.74,420.45,414.96,408.39,403.5,405.75,410.89,421.7,434.85,448.58,459.62,469.09,479.54,489.7,517.67
Maine,.,-1.59,15.86,7.57,10.90,5.73,8.62,0.42,5.98,14.46,10.79,11.79,13.16,13.30,4.59,-2.07,-3.23,-0.88,-1.59,-1.10,0.76,2.55,2.31,3.73,5.51,9.48,8.62,8.38,6.53,11.55,11.12,4.08,0.98,-1.22,-5.50,-3.94,-1.92,-2.32,0.75,1.76,2.49,3.55,5.08,5.76,4.73,4.65,14.16,100.0,98.41,114.02,122.65,136.03,143.82,156.22,156.88,166.27,190.3,210.84,235.7,266.71,302.18,316.06,309.51,299.5,296.86,292.13,288.93,291.13,298.57,305.48,316.87,334.32,366.02,397.57,430.89,459.01,512.04,568.99,592.22,597.99,590.71,558.21,536.21,525.94,513.73,517.59,526.67,539.81,558.96,587.35,621.16,650.51,680.77,777.13
Maryland,.,8.78,6.37,13.28,13.14,9.51,7.93,-3.14,6.72,6.01,5.17,6.60,9.41,14.73,10.14,3.86,1.54,1.22,0.12,0.01,0.52,1.48,0.85,2.13,3.04,6.75,7.72,9.66,7.65,16.69,21.56,12.33,1.84,-5.98,-10.93,-5.27,-4.02,-1.70,1.61,3.33,2.23,2.61,2.89,2.89,2.83,2.55,9.44,100.0,108.78,115.71,131.07,148.29,162.4,175.28,169.78,181.19,192.09,202.02,215.35,235.61,270.32,297.74,309.22,313.99,317.81,318.18,318.21,319.87,324.62,327.38,334.35,344.51,367.78,396.17,434.42,467.66,545.74,663.4,745.18,758.86,713.45,635.5,601.98,577.76,567.94,577.11,596.35,609.62,625.54,643.61,662.2,680.92,698.26,764.2
Massachusetts,.,6.12,3.23,11.36,13.68,12.58,17.18,5.26,6.74,21.73,20.13,17.69,12.06,6.33,0.49,-4.17,-5.90,-1.61,-0.88,0.52,2.28,3.25,4.44,5.96,8.56,16.54,11.01,10.55,7.55,10.35,9.78,1.00,-3.21,-4.80,-5.84,-2.38,-2.32,-1.22,1.87,5.25,3.58,4.91,5.64,5.38,4.07,3.10,10.83,100.0,106.12,109.55,122.0,138.68,156.13,182.95,192.56,205.54,250.19,300.55,353.71,396.37,421.44,423.5,405.84,381.91,375.76,372.44,374.39,382.93,395.39,412.94,437.56,475.03,553.61,614.59,679.45,730.72,806.38,885.21,894.08,865.38,823.83,775.68,757.25,739.68,730.68,744.37,783.45,811.48,851.29,899.35,947.71,986.32,1016.92,1127.02
Michigan,.,2.90,9.64,15.90,18.74,6.37,4.08,-12.27,4.79,0.88,4.21,7.49,8.76,8.69,6.84,4.83,3.27,2.35,1.86,4.56,7.97,6.57,7.80,4.85,5.90,7.99,5.02,3.12,1.96,3.16,3.30,-1.25,-4.41,-6.94,-8.13,-7.80,-3.83,-0.65,5.57,8.00,4.86,5.29,6.72,6.35,4.84,2.99,11.37,100.0,102.9,112.81,130.75,155.25,165.14,171.87,150.78,158.01,159.4,166.1,178.55,194.18,211.06,225.49,236.38,244.11,249.86,254.5,266.09,287.3,306.18,330.06,346.08,366.51,395.79,415.65,428.64,437.05,450.88,465.78,459.94,439.65,409.13,375.86,346.55,333.3,331.14,349.58,377.54,395.89,416.81,444.81,473.07,495.96,510.77,568.85
Minnesota,.,8.82,11.47,17.49,14.50,10.24,1.81,-12.65,21.62,2.49,2.27,3.08,4.34,3.86,3.31,1.28,2.46,2.08,2.84,3.40,5.96,4.14,4.98,4.64,7.32,11.96,9.03,7.73,4.59,8.55,8.12,2.73,-0.78,-4.42,-6.14,-6.06,-5.34,-1.48,3.99,5.71,3.31,4.62,5.83,5.66,4.05,2.55,9.55,100.0,108.82,121.31,142.53,163.2,179.91,183.16,159.99,194.57,199.42,203.95,210.24,219.37,227.83,235.37,238.39,244.25,249.32,256.41,265.13,280.94,292.57,307.15,321.39,344.91,386.15,421.01,453.55,474.36,514.91,556.73,571.92,567.48,542.43,509.14,478.27,452.74,446.03,463.85,490.34,506.56,529.96,560.85,592.58,616.58,632.32,692.73
Mississippi,.,3.89,4.18,14.36,12.37,0.61,3.48,5.90,2.85,2.11,5.71,1.21,-0.27,-0.98,0.82,0.92,1.31,2.74,2.25,5.01,4.87,3.34,3.80,4.09,4.34,3.52,4.20,1.98,1.86,3.52,5.43,8.68,4.43,-0.24,-2.84,-3.61,-2.07,-0.71,-0.26,1.69,2.45,2.57,2.11,2.99,3.10,2.36,8.37,100.0,103.89,108.23,123.77,139.07,139.92,144.79,153.33,157.7,161.02,170.21,172.26,171.79,170.1,171.49,173.07,175.33,180.14,184.2,193.42,202.84,209.62,217.59,226.48,236.31,244.64,254.9,259.96,264.8,274.13,289.0,314.09,327.99,327.2,317.89,306.41,300.07,297.92,297.14,302.17,309.56,317.51,324.22,333.92,344.27,352.4,381.9
Missouri,.,5.80,9.43,15.12,11.05,5.93,-1.43,0.24,5.60,6.41,5.78,4.77,5.13,3.45,2.23,0.45,1.03,1.53,1.39,3.66,5.63,3.70,4.10,3.20,4.32,6.41,5.51,4.46,2.75,5.73,6.43,4.07,1.50,-1.61,-3.31,-3.55,-3.15,-1.17,0.35,2.57,3.38,4.11,4.50,5.03,4.61,3.48,10.98,100.0,105.8,115.78,133.28,148.01,156.78,154.54,154.9,163.58,174.07,184.13,192.9,202.79,209.8,214.47,215.44,217.65,220.98,224.04,232.25,245.33,254.4,264.82,273.3,285.12,303.39,320.11,334.39,343.6,363.28,386.65,402.38,408.41,401.83,388.52,374.74,362.94,358.69,359.95,369.21,381.68,397.36,415.23,436.13,456.24,472.12,523.94
Montana,.,10.66,15.40,20.91,10.55,4.91,-0.27,5.80,-1.98,12.23,-0.58,-2.74,-4.28,1.28,2.73,4.12,6.30,7.49,9.36,8.85,7.80,4.19,3.11,2.42,2.48,4.44,4.63,4.81,4.59,8.92,12.54,11.23,6.48,1.38,-2.75,-4.75,-3.02,0.89,3.44,4.77,3.54,3.42,5.41,5.86,4.87,4.29,15.46,100.0,110.66,127.7,154.4,170.69,179.08,178.59,188.95,185.2,207.86,206.66,201.0,192.39,194.85,200.18,208.43,221.56,238.16,260.44,283.49,305.6,318.42,328.32,336.26,344.61,359.92,376.59,394.69,412.83,449.66,506.03,562.88,599.37,607.64,590.91,562.86,545.85,550.72,569.65,596.82,617.96,639.11,673.66,713.12,747.87,779.99,900.57
Nebraska,.,7.83,10.79,11.77,12.01,7.57,0.72,6.13,1.58,1.96,0.60,1.52,0.30,1.20,3.08,3.74,3.00,3.55,4.54,5.91,6.83,4.70,5.43,3.70,4.00,4.21,3.64,2.60,1.73,4.44,4.48,1.92,1.09,-0.51,-0.74,-0.91,-0.48,0.62,2.35,3.80,3.91,4.19,5.76,5.16,5.09,2.88,10.45,100.0,107.83,119.47,133.53,149.57,160.9,162.06,171.99,174.71,178.13,179.2,181.93,182.48,184.66,190.34,197.46,203.37,210.59,220.16,233.17,249.1,260.81,274.97,285.14,296.55,309.02,320.27,328.61,334.31,349.16,364.82,371.83,375.89,373.97,371.2,367.84,366.08,368.37,377.01,391.33,406.63,423.69,448.1,471.24,495.22,509.47,562.7
