Date,GBP,EUR,YENN,BTC
22/01/2018,6.46%,7.42%,6.25%,125.42%
23/01/2018,6.58%,7.41%,6.38%,125.10%
24/01/2018,6.56%,7.48%,6.78%,114.73%
25/01/2018,7.73%,7.57%,7.06%,114.76%
26/01/2018,8.20%,7.58%,7.26%,112.34%
29/01/2018,8.25%,7.57%,7.79%,112.51%
30/01/2018,8.57%,7.71%,7.94%,115.99%
31/01/2018,8.62%,7.71%,7.89%,109.80%
01/02/2018,8.50%,7.65%,8.08%,113.39%
02/02/2018,7.98%,7.61%,8.00%,112.00%
05/02/2018,9.25%,7.90%,8.31%,122.69%
06/02/2018,10.43%,8.24%,8.53%,128.35%
07/02/2018,10.41%,7.86%,8.81%,128.42%
08/02/2018,10.60%,8.54%,8.83%,132.87%
09/02/2018,10.60%,8.56%,8.21%,132.37%
12/02/2018,11.06%,8.30%,8.31%,131.33%
13/02/2018,10.01%,7.28%,8.31%,131.40%
14/02/2018,9.91%,7.10%,8.63%,123.87%
15/02/2018,10.38%,7.73%,9.27%,126.52%
16/02/2018,10.55%,7.20%,8.47%,126.13%
19/02/2018,10.66%,7.69%,8.56%,130.54%
20/02/2018,10.71%,7.71%,8.82%,128.90%
21/02/2018,10.46%,7.95%,9.14%,130.94%
22/02/2018,10.67%,7.96%,8.91%,131.75%
23/02/2018,9.33%,7.72%,8.89%,132.30%
26/02/2018,9.23%,7.78%,8.83%,132.34%
27/02/2018,9.23%,7.76%,8.26%,132.90%
28/02/2018,9.18%,8.00%,8.30%,127.41%
01/03/2018,9.57%,7.98%,8.61%,128.58%
02/03/2018,9.49%,8.37%,8.48%,121.99%
05/03/2018,9.29%,8.02%,8.52%,121.29%
06/03/2018,8.83%,7.90%,8.62%,86.33%
07/03/2018,7.97%,7.93%,8.45%,86.69%
08/03/2018,7.96%,7.93%,8.59%,89.62%
09/03/2018,8.11%,7.86%,8.62%,85.90%
12/03/2018,8.09%,7.86%,8.65%,84.20%
13/03/2018,7.72%,7.89%,8.75%,83.93%
14/03/2018,7.85%,7.90%,8.83%,90.99%
15/03/2018,7.82%,7.80%,8.44%,83.33%
16/03/2018,7.15%,7.28%,7.59%,78.93%
19/03/2018,6.75%,7.19%,7.51%,80.22%
20/03/2018,6.88%,7.01%,7.50%,73.10%
21/03/2018,6.83%,7.37%,7.51%,72.62%
22/03/2018,7.66%,7.72%,7.33%,70.18%
23/03/2018,7.30%,7.59%,7.83%,67.60%
26/03/2018,7.27%,7.52%,7.55%,70.82%
27/03/2018,7.54%,7.93%,7.85%,71.59%
28/03/2018,7.76%,8.07%,7.85%,70.32%
29/03/2018,8.00%,8.18%,8.99%,76.82%
30/03/2018,7.01%,8.09%,8.69%,72.80%
02/04/2018,7.01%,7.79%,8.56%,73.90%
03/04/2018,7.00%,7.71%,8.49%,74.86%
04/04/2018,6.91%,7.69%,8.44%,76.10%
05/04/2018,6.84%,7.30%,8.12%,73.35%
06/04/2018,7.18%,7.35%,7.90%,71.91%
09/04/2018,6.86%,6.76%,7.89%,72.96%
10/04/2018,6.85%,6.92%,7.76%,73.46%
11/04/2018,6.82%,6.96%,7.55%,74.26%
12/04/2018,6.69%,6.80%,7.58%,80.54%
13/04/2018,6.74%,6.88%,7.57%,80.52%
16/04/2018,6.64%,6.62%,7.59%,80.88%
17/04/2018,6.91%,6.71%,7.67%,80.00%
18/04/2018,6.88%,6.55%,7.67%,80.02%
19/04/2018,7.30%,6.03%,7.59%,80.30%
20/04/2018,7.10%,5.50%,7.33%,83.29%
23/04/2018,7.36%,5.83%,6.48%,83.14%
24/04/2018,7.42%,6.01%,6.85%,82.61%
25/04/2018,7.17%,5.22%,6.67%,87.69%
26/04/2018,7.14%,5.38%,6.77%,88.86%
27/04/2018,6.81%,5.00%,5.57%,80.55%
30/04/2018,7.61%,5.04%,5.46%,78.64%
01/05/2018,7.60%,5.09%,5.38%,79.02%
02/05/2018,8.47%,5.57%,5.02%,77.73%
03/05/2018,8.40%,5.62%,4.84%,71.00%
04/05/2018,8.35%,5.80%,5.56%,70.93%
07/05/2018,8.24%,5.80%,5.53%,71.62%
08/05/2018,7.95%,5.71%,5.58%,72.41%
09/05/2018,7.73%,5.53%,5.48%,72.41%
10/05/2018,7.53%,5.21%,5.88%,74.07%
11/05/2018,7.47%,5.83%,5.98%,67.26%
14/05/2018,7.36%,6.01%,5.95%,67.98%
15/05/2018,7.37%,5.98%,5.99%,68.43%
16/05/2018,6.63%,6.16%,5.85%,68.32%
17/05/2018,6.99%,6.18%,5.82%,68.51%
18/05/2018,6.84%,6.10%,5.88%,68.62%
21/05/2018,6.50%,6.10%,5.88%,64.98%
22/05/2018,6.36%,6.14%,5.81%,66.52%
23/05/2018,6.35%,6.04%,5.37%,61.23%
24/05/2018,6.10%,6.06%,6.14%,54.01%
25/05/2018,6.15%,6.01%,6.18%,50.14%
28/05/2018,6.28%,5.90%,6.26%,51.21%
29/05/2018,5.50%,5.94%,6.27%,53.30%
30/05/2018,5.56%,6.23%,6.99%,53.29%
31/05/2018,4.36%,7.44%,6.83%,53.24%
01/06/2018,4.36%,7.49%,6.83%,48.44%
04/06/2018,4.84%,7.34%,7.01%,48.46%
05/06/2018,4.84%,7.44%,7.09%,48.67%
06/06/2018,5.36%,7.52%,7.06%,48.82%
07/06/2018,5.38%,7.58%,7.10%,48.56%
08/06/2018,5.39%,7.57%,6.77%,47.93%
11/06/2018,5.37%,7.24%,6.68%,53.52%
12/06/2018,5.35%,7.13%,7.30%,52.87%
13/06/2018,5.33%,7.14%,7.21%,53.33%
14/06/2018,5.16%,6.69%,7.03%,57.72%
15/06/2018,5.82%,9.78%,7.14%,57.71%
18/06/2018,5.86%,9.85%,6.98%,59.73%
19/06/2018,5.82%,9.92%,7.13%,59.01%
20/06/2018,6.08%,9.92%,7.12%,57.68%
21/06/2018,6.07%,9.92%,7.15%,54.25%
22/06/2018,6.25%,9.74%,6.73%,63.35%
25/06/2018,6.26%,9.89%,6.47%,64.63%
26/06/2018,5.99%,9.93%,6.47%,63.42%
27/06/2018,6.16%,9.88%,6.58%,60.76%
28/06/2018,6.50%,9.87%,5.61%,61.82%
29/06/2018,6.50%,9.03%,5.59%,65.14%
02/07/2018,7.51%,9.69%,5.60%,69.46%
03/07/2018,7.40%,9.73%,5.01%,69.49%
04/07/2018,7.52%,9.69%,5.16%,69.29%
05/07/2018,7.15%,9.65%,5.15%,69.37%
06/07/2018,7.13%,9.53%,5.10%,69.41%
09/07/2018,7.44%,9.69%,4.91%,69.65%
10/07/2018,7.50%,9.69%,5.05%,64.54%
11/07/2018,7.45%,9.72%,4.17%,62.66%
12/07/2018,7.53%,9.80%,5.41%,62.08%
13/07/2018,7.53%,9.61%,5.66%,59.28%
16/07/2018,6.96%,6.26%,5.69%,64.42%
17/07/2018,6.94%,6.26%,5.69%,68.93%
18/07/2018,7.72%,6.45%,5.62%,68.94%
19/07/2018,7.44%,6.31%,5.70%,68.99%
20/07/2018,7.56%,6.30%,5.92%,69.23%
23/07/2018,8.07%,6.74%,7.22%,59.18%
24/07/2018,8.12%,6.74%,7.30%,64.80%
25/07/2018,8.24%,6.63%,7.26%,65.13%
26/07/2018,8.22%,6.60%,7.29%,66.77%
27/07/2018,8.14%,6.69%,7.33%,63.92%
30/07/2018,8.05%,6.70%,7.33%,62.65%
31/07/2018,7.22%,5.91%,7.30%,63.68%
01/08/2018,7.04%,5.82%,7.71%,64.03%
02/08/2018,6.90%,5.85%,7.57%,64.22%
03/08/2018,7.34%,6.32%,7.57%,64.77%
06/08/2018,7.34%,6.24%,7.73%,69.47%
07/08/2018,7.08%,5.93%,7.71%,70.21%
08/08/2018,7.06%,6.13%,7.54%,70.86%
09/08/2018,7.17%,6.11%,7.68%,72.20%
10/08/2018,7.19%,6.45%,6.79%,74.74%
13/08/2018,7.33%,7.43%,6.45%,75.01%
14/08/2018,7.12%,7.42%,6.44%,69.68%
15/08/2018,7.09%,7.40%,6.77%,62.83%
16/08/2018,6.47%,7.32%,6.64%,62.76%
17/08/2018,6.56%,7.42%,6.85%,64.36%
20/08/2018,6.60%,7.78%,6.91%,65.52%
21/08/2018,5.78%,7.47%,5.86%,63.81%
22/08/2018,6.52%,7.92%,5.73%,53.27%
23/08/2018,6.32%,7.93%,5.92%,54.48%
24/08/2018,6.47%,7.80%,6.31%,55.65%
27/08/2018,6.40%,8.04%,6.25%,55.48%
28/08/2018,6.52%,8.09%,6.23%,56.97%
29/08/2018,6.47%,7.97%,6.23%,54.75%
30/08/2018,8.08%,7.97%,5.93%,54.50%
31/08/2018,8.09%,8.06%,6.30%,54.66%
03/09/2018,7.93%,7.92%,6.32%,55.66%
04/09/2018,8.03%,7.89%,6.17%,50.39%
05/09/2018,7.90%,7.94%,6.27%,57.16%
06/09/2018,8.07%,7.96%,6.27%,53.53%
07/09/2018,7.87%,7.98%,6.82%,51.71%
10/09/2018,7.71%,7.73%,6.93%,47.68%
11/09/2018,7.78%,6.56%,6.80%,47.28%
12/09/2018,7.80%,6.57%,6.93%,46.95%
13/09/2018,7.64%,6.25%,6.82%,47.40%
14/09/2018,7.66%,6.39%,6.87%,47.40%
17/09/2018,7.82%,6.80%,6.78%,47.12%
18/09/2018,7.94%,6.64%,6.59%,45.10%
19/09/2018,7.87%,6.50%,6.49%,43.99%
20/09/2018,7.58%,6.05%,6.49%,44.04%
21/09/2018,8.18%,6.69%,6.39%,44.66%
24/09/2018,9.41%,6.59%,5.98%,44.21%
25/09/2018,9.37%,5.86%,6.00%,43.85%
26/09/2018,9.45%,5.79%,5.96%,42.35%
27/09/2018,9.39%,5.82%,6.06%,43.74%
28/09/2018,8.75%,6.69%,6.14%,43.67%
01/10/2018,8.79%,6.63%,5.66%,43.53%
02/10/2018,8.43%,6.41%,5.66%,41.71%
03/10/2018,8.47%,6.43%,5.84%,41.15%
04/10/2018,8.55%,6.75%,6.27%,31.32%
05/10/2018,8.71%,6.71%,6.64%,28.19%
08/10/2018,9.08%,6.71%,5.75%,27.97%
09/10/2018,9.16%,6.53%,6.13%,26.74%
10/10/2018,8.96%,6.45%,6.15%,26.99%
11/10/2018,9.01%,6.51%,6.73%,32.64%
12/10/2018,9.01%,6.68%,6.60%,31.24%
15/10/2018,9.57%,6.45%,6.14%,36.04%
16/10/2018,9.60%,6.30%,6.24%,33.48%
17/10/2018,9.44%,6.16%,6.37%,33.36%
18/10/2018,9.68%,6.48%,6.17%,33.58%
19/10/2018,9.88%,6.55%,6.33%,32.93%
22/10/2018,9.26%,5.90%,6.37%,30.74%
23/10/2018,8.23%,5.96%,6.43%,29.94%
24/10/2018,8.17%,5.96%,6.45%,28.87%
25/10/2018,8.25%,6.19%,6.54%,28.77%
26/10/2018,8.35%,6.19%,6.60%,26.95%
29/10/2018,8.09%,5.56%,6.35%,27.88%
30/10/2018,8.07%,5.54%,6.34%,27.80%
31/10/2018,8.35%,5.55%,6.77%,27.78%
01/11/2018,8.50%,5.56%,6.71%,27.94%
02/11/2018,10.68%,5.92%,6.00%,27.60%
05/11/2018,10.44%,5.75%,5.97%,27.53%
06/11/2018,10.15%,5.78%,5.97%,27.59%
07/11/2018,10.23%,5.80%,5.66%,27.91%
08/11/2018,10.09%,5.78%,5.67%,28.04%
09/11/2018,10.11%,5.99%,4.91%,21.65%
12/11/2018,10.56%,5.72%,4.94%,21.67%
13/11/2018,10.25%,6.17%,4.99%,12.15%
14/11/2018,11.09%,6.67%,4.80%,37.02%
15/11/2018,11.04%,6.68%,4.70%,37.15%
16/11/2018,12.29%,6.42%,4.64%,37.19%
19/11/2018,12.35%,6.98%,5.16%,57.73%
20/11/2018,12.31%,6.93%,5.16%,63.12%
21/11/2018,12.18%,7.26%,5.16%,65.37%
22/11/2018,12.16%,7.28%,5.14%,66.14%
23/11/2018,12.26%,6.95%,4.93%,66.10%
26/11/2018,12.26%,7.21%,4.85%,77.81%
27/11/2018,12.26%,7.17%,4.88%,78.83%
28/11/2018,12.38%,7.21%,4.80%,90.97%
29/11/2018,12.29%,7.49%,4.37%,91.18%
30/11/2018,12.24%,7.46%,4.34%,91.83%
03/12/2018,10.33%,7.13%,4.41%,91.46%
04/12/2018,10.33%,7.15%,4.29%,91.98%
05/12/2018,10.17%,7.13%,5.10%,91.87%
06/12/2018,10.01%,7.08%,5.22%,91.78%
07/12/2018,10.14%,7.14%,5.28%,91.55%
10/12/2018,10.13%,6.90%,5.10%,93.25%
11/12/2018,10.47%,6.90%,5.59%,92.79%
12/12/2018,10.43%,6.33%,5.62%,93.79%
13/12/2018,10.23%,6.07%,5.61%,90.28%
14/12/2018,10.30%,6.08%,5.65%,90.22%
17/12/2018,8.72%,6.34%,5.67%,98.72%
18/12/2018,8.53%,5.84%,5.34%,91.86%
19/12/2018,8.58%,5.75%,5.35%,87.84%
20/12/2018,8.42%,5.19%,5.30%,94.42%
21/12/2018,8.53%,5.55%,6.40%,94.86%
24/12/2018,8.01%,6.13%,6.40%,96.50%
25/12/2018,8.10%,5.85%,6.71%,86.17%
26/12/2018,8.11%,5.85%,6.36%,86.17%
27/12/2018,7.98%,6.00%,6.92%,78.59%
28/12/2018,7.61%,6.00%,6.96%,83.09%
31/12/2018,7.70%,5.96%,7.07%,81.85%
01/01/2019,7.77%,5.90%,7.08%,81.83%
02/01/2019,7.74%,6.01%,7.12%,82.14%
03/01/2019,10.05%,7.52%,9.47%,80.56%
04/01/2019,10.55%,7.85%,9.49%,77.01%
07/01/2019,10.88%,7.83%,9.96%,77.08%
08/01/2019,10.85%,8.07%,10.01%,76.88%
09/01/2019,9.92%,7.97%,9.69%,76.18%
10/01/2019,9.76%,8.35%,9.66%,83.57%
11/01/2019,9.22%,8.41%,9.72%,81.28%
14/01/2019,9.53%,8.57%,9.67%,80.69%
15/01/2019,9.26%,8.34%,9.66%,75.23%
16/01/2019,9.26%,8.47%,9.81%,73.83%
17/01/2019,9.23%,8.46%,9.98%,73.71%
18/01/2019,9.44%,8.45%,10.02%,64.20%
21/01/2019,10.20%,8.21%,9.58%,61.56%
22/01/2019,10.19%,7.81%,9.58%,59.06%
23/01/2019,10.20%,7.75%,9.36%,54.77%
24/01/2019,10.57%,7.78%,9.37%,54.60%
25/01/2019,10.45%,7.94%,8.97%,51.40%
28/01/2019,10.56%,8.25%,8.93%,45.67%
29/01/2019,10.72%,8.26%,8.81%,43.12%
30/01/2019,11.03%,8.09%,8.56%,42.06%
31/01/2019,11.04%,8.20%,8.67%,40.60%
01/02/2019,8.45%,6.92%,4.64%,40.15%
04/02/2019,8.27%,6.58%,4.84%,40.00%
05/02/2019,8.08%,6.59%,4.60%,36.20%
06/02/2019,8.33%,6.27%,4.60%,36.16%
07/02/2019,8.23%,6.36%,4.59%,36.04%
08/02/2019,8.09%,5.49%,4.17%,33.47%
11/02/2019,7.97%,5.38%,4.17%,33.50%
12/02/2019,7.86%,5.35%,4.47%,33.45%
13/02/2019,7.86%,5.68%,4.35%,32.73%
14/02/2019,7.92%,5.81%,4.36%,32.66%
15/02/2019,8.06%,5.91%,4.51%,32.57%
18/02/2019,8.16%,5.92%,4.51%,42.46%
19/02/2019,7.35%,5.90%,4.27%,41.43%
20/02/2019,8.13%,5.98%,4.27%,41.52%
21/02/2019,7.98%,5.98%,4.12%,41.76%
22/02/2019,7.24%,5.93%,4.13%,41.86%
25/02/2019,7.19%,5.45%,4.13%,43.68%
26/02/2019,6.99%,4.54%,4.09%,41.41%
27/02/2019,7.71%,4.59%,4.41%,41.26%
28/02/2019,7.47%,4.59%,4.47%,41.23%
01/03/2019,7.62%,4.25%,4.33%,40.98%
04/03/2019,7.66%,4.13%,4.47%,42.33%
05/03/2019,7.80%,4.25%,4.31%,43.46%
06/03/2019,7.71%,4.30%,4.09%,43.46%
07/03/2019,7.39%,4.27%,4.20%,42.82%
08/03/2019,7.81%,5.36%,4.21%,42.77%
11/03/2019,8.34%,5.47%,4.56%,34.61%
12/03/2019,10.76%,5.55%,4.60%,34.49%
13/03/2019,11.74%,5.46%,4.28%,34.52%
14/03/2019,12.96%,5.35%,4.30%,34.36%
15/03/2019,12.93%,4.92%,4.45%,34.29%
18/03/2019,12.75%,4.85%,4.30%,34.58%
19/03/2019,12.61%,4.87%,4.36%,22.25%
20/03/2019,12.61%,4.88%,4.36%,22.16%
